ticker;volume;volume_weighted_avg_price;open_price;close_price;highest_price;lowest_price;timestamp;transactions_number
BABA;167265.0;78.1011;78.2491;77.95;78.3599;77.7;2023-11-27 13:00:00;1377
BABA;3804528.0;77.4441;78.01;77.75;78.08;77.09;2023-11-27 14:00:00;31884
BABA;3602430.0;77.5432;77.76;77.42;79.25;77.35;2023-11-27 15:00:00;34520
BABA;2320154.0;77.3267;77.42;77.215;77.46;77.1719;2023-11-27 16:00:00;20694
BABA;2377948.0;77.1933;77.215;77.26;77.29;77.09;2023-11-27 17:00:00;19392
BABA;1279118.0;77.3007;77.2689;77.2916;77.395;77.19;2023-11-27 18:00:00;11338
BABA;1797900.0;77.3817;77.295;77.48;77.5891;77.18;2023-11-27 19:00:00;16412
BABA;2377098.0;77.5046;77.49;77.54;77.59;77.42;2023-11-27 20:00:00;20672
BABA;67638.0;77.4675;77.53;77.41;77.53;77.36;2023-11-27 21:00:00;454
BABA;41991.0;77.3635;77.43;77.4;77.45;77.25;2023-11-27 22:00:00;441
BABA;21685.0;77.3939;77.38;77.42;77.422;77.38;2023-11-27 23:00:00;115
BABA;27690.0;77.4208;77.41;77.45;77.5;77.36;2023-11-28 00:00:00;116
MSFT;2706.0;377.0821;377.0;376.8;377.85;376.8;2023-11-27 09:00:00;90
MSFT;1763.0;377.048;376.9;377.28;377.28;376.9;2023-11-27 10:00:00;80
MSFT;1758.0;376.8273;377.0;376.7;377.0;376.7;2023-11-27 11:00:00;88
MSFT;23095.0;376.7483;376.8;376.34;377.3;376.31;2023-11-27 12:00:00;677
MSFT;50251.0;376.5608;376.8887;376.22;377.43;376.01;2023-11-27 13:00:00;1725
MSFT;2209681.0;377.0837;376.33;377.63;378.18;376.01;2023-11-27 14:00:00;47052
MSFT;2380069.0;377.4713;377.66;377.975;378.145;376.82;2023-11-27 15:00:00;79607
MSFT;1974727.0;377.9679;377.95;379.02;379.0595;377.25;2023-11-27 16:00:00;41106
MSFT;3108468.0;379.8196;379.04;380.3505;380.59;378.94;2023-11-27 17:00:00;50656
MSFT;1647525.0;380.0312;380.36;379.725;380.64;379.39;2023-11-27 18:00:00;34017
MSFT;1555788.0;379.0712;379.73;379.11;379.8675;378.23;2023-11-27 19:00:00;31429
MSFT;3248218.0;378.8297;379.095;378.61;379.2999;378.4;2023-11-27 20:00:00;62585
MSFT;1551145.0;378.605;378.63;378.26;378.71;378.15;2023-11-27 21:00:00;745
MSFT;5912.0;378.3329;378.28;378.37;378.44;378.26;2023-11-27 22:00:00;70
MSFT;17663.0;378.7151;378.35;379.1799;379.27;378.35;2023-11-27 23:00:00;243
MSFT;8857.0;378.8784;379.0;378.85;379.18;378.58;2023-11-28 00:00:00;154
